Seller,Department,Revenue,Revenue Goal,Margin,Margin Goal,Date,Sales Quantity,Customers
Thiago Carvalho,Sports,2557.69,5718.82,0.52,0.36,1/3/2020,14,34
Mateus Barbosa,Electronics,9331.48,12466.22,0.16,0.24,1/3/2020,53,184
Camila Carvalho,House,11971.15,13182.47,0.4,0.29,1/3/2020,70,235
Diego Cardoso,Wardrobe,3095.8,7758.18,0.17,0.15,1/3/2020,17,64
Jorge Santos,Toy,6252.67,10765.22,0.24,0.25,1/3/2020,34,42
Raphael Silva,Stationery,4149.77,1640.97,0.67,0.47,1/3/2020,19,74
Caroline Reis,Stationery,2774.66,1830.96,0.54,0.49,1/3/2020,16,38
Letícia Nascimento,Electronics,9321.38,4555.68,0.17,0.2,1/4/2020,53,158
Ana Sousa,Electronics,6333.83,8534.86,0.14,0.2,1/4/2020,34,43
Gustavo Martins,Electronics,7359.57,11688.81,0.3,0.21,1/4/2020,40,77
Beatriz Santos,Wardrobe,8089.15,3670.94,0.11,0.16,1/4/2020,40,130
Camila Lima,Wardrobe,5266.85,6036.89,0.14,0.15,1/4/2020,31,96
Thiago Barbosa,Accessories,3401.24,3249.72,0.4,0.44,1/4/2020,16,44
Letícia Ribeiro,Accessories,1682.28,4668.56,0.66,0.52,1/4/2020,6,20
Enzo Nascimento,House,8706.28,5098.42,0.43,0.32,1/4/2020,48,117
Guilherme Santos,House,7039.22,12842.18,0.4,0.28,1/4/2020,41,104
Vitória Ribeiro,Toy,8981.34,9759.01,0.31,0.27,1/4/2020,50,83
Julia Araújo,Sports,10771.91,13980.26,0.43,0.3,1/4/2020,62,234
Lucas Rodrigues,Sports,9773.73,10740.37,0.36,0.38,1/4/2020,50,153
Thiago Carvalho,Sports,18108.34,6271.21,0.18,0.33,1/4/2020,123,449
Mateus Barbosa,Electronics,5994.7,6602.78,0.08,0.18,1/4/2020,36,133
Camila Carvalho,House,7415.15,4757.2,0.37,0.29,1/4/2020,43,61
Diego Cardoso,Wardrobe,9759.82,10314.81,0.13,0.15,1/4/2020,51,166
Jorge Santos,Toy,11506.74,8075.15,0.29,0.23,1/4/2020,62,103
Raphael Silva,Stationery,1618.56,1890.49,0.49,0.38,1/4/2020,9,32
Caroline Reis,Stationery,3652.97,2596.29,0.49,0.54,1/4/2020,16,54
Letícia Nascimento,Electronics,12800.3,9345.28,0.3,0.23,1/5/2020,75,280
Ana Sousa,Electronics,2722.86,4628.19,0.25,0.18,1/5/2020,12,26
Gustavo Martins,Electronics,14895.97,7281.93,0.28,0.21,1/5/2020,87,267
Beatriz Santos,Wardrobe,11866.46,10268.63,0.23,0.2,1/5/2020,67,218
Camila Lima,Wardrobe,4909.3,8363.57,0.27,0.17,1/5/2020,24,57
Thiago Barbosa,Accessories,4592.8,4752.92,0.7,0.52,1/5/2020,28,73
Letícia Ribeiro,Accessories,4290.05,1902.05,0.74,0.58,1/5/2020,19,31
Enzo Nascimento,House,1546.6,10989.25,0.12,0.22,1/5/2020,9,31
Guilherme Santos,House,5046.11,11218.23,0.14,0.31,1/5/2020,23,30
Vitória Ribeiro,Toy,6615.47,11262.04,0.15,0.27,1/5/2020,34,70
Julia Araújo,Sports,1213.37,13623.55,0.17,0.29,1/5/2020,6,8
Lucas Rodrigues,Sports,2872.33,4495.05,0.39,0.27,1/5/2020,14,21
Thiago Carvalho,Sports,13256.56,11167.74,0.43,0.36,1/5/2020,74,152
Mateus Barbosa,Electronics,12599.16,11864.14,0.14,0.24,1/5/2020,63,189
Camila Carvalho,House,3539.57,6507.76,0.44,0.29,1/5/2020,19,76
Diego Cardoso,Wardrobe,3830.54,6814.62,0.12,0.17,1/5/2020,19,67
Jorge Santos,Toy,3391.88,3831.22,0.22,0.22,1/5/2020,17,43
Raphael Silva,Stationery,1738.86,2222.47,0.59,0.5,1/5/2020,11,25
Caroline Reis,Stationery,150.68,3922.22,0.52,0.45,1/5/2020,2,6
Letícia Nascimento,Electronics,6482.69,3691.71,0.1,0.18,1/6/2020,36,73
Ana Sousa,Electronics,15855.13,10398.97,0.26,0.2,1/6/2020,94,138
Gustavo Martins,Electronics,459.99,4522.73,0.25,0.17,1/6/2020,2,5
Beatriz Santos,Wardrobe,11611.38,10570.52,0.17,0.15,1/6/2020,60,85
Camila Lima,Wardrobe,3724.03,8240.46,0.21,0.15,1/6/2020,24,35
Thiago Barbosa,Accessories,1687.92,2883.3,0.32,0.48,1/6/2020,7,9
Letícia Ribeiro,Accessories,4417.97,2692.5,0.66,0.42,1/6/2020,26,43
Enzo Nascimento,House,11258.3,12838.1,0.18,0.28,1/6/2020,57,77
Guilherme Santos,House,16564.73,13626.12,0.31,0.24,1/6/2020,106,434
Vitória Ribeiro,Toy,1362.58,8502.55,0.38,0.27,1/6/2020,4,13
Julia Araújo,Sports,14444.22,5090.39,0.17,0.33,1/6/2020,87,233
Lucas Rodrigues,Sports,14079.95,13165.22,0.44,0.33,1/6/2020,77,107
Thiago Carvalho,Sports,15977.03,7025.04,0.4,0.31,1/6/2020,94,258
Mateus Barbosa,Electronics,8717.55,10534.8,0.25,0.22,1/6/2020,50,153
Camila Carvalho,House,13123.17,6335.66,0.24,0.31,1/6/2020,80,285
Diego Cardoso,Wardrobe,12133.84,10439.06,0.26,0.17,1/6/2020,72,97
Jorge Santos,Toy,11993.51,12074.39,0.22,0.29,1/6/2020,62,177
Raphael Silva,Stationery,510.71,3620.22,0.32,0.4,1/6/2020,2,7
Caroline Reis,Stationery,974.77,1316.19,0.4,0.52,1/6/2020,2,4
Letícia Nascimento,Electronics,9549.57,11278.86,0.22,0.22,1/7/2020,50,156
Ana Sousa,Electronics,1509.71,9633.06,0.31,0.2,1/7/2020,6,13
Gustavo Martins,Electronics,14206.75,10739.59,0.11,0.23,1/7/2020,72,284
Beatriz Santos,Wardrobe,7883.02,10362.88,0.22,0.17,1/7/2020,45,73
Camila Lima,Wardrobe,10087.89,5174.78,0.13,0.21,1/7/2020,55,146
Thiago Barbosa,Accessories,4337.64,2428.26,0.48,0.54,1/7/2020,24,40
Letícia Ribeiro,Accessories,5903.49,1948.7,0.7,0.58,1/7/2020,33,66
Enzo Nascimento,House,13638.21,7003.8,0.37,0.23,1/7/2020,77,258
Guilherme Santos,House,7507.31,4371.39,0.24,0.3,1/7/2020,41,88
Vitória Ribeiro,Toy,9268.06,9264.42,0.29,0.2,1/7/2020,48,115
Julia Araújo,Sports,5445.76,8933.48,0.49,0.29,1/7/2020,33,90
Lucas Rodrigues,Sports,13974.18,7999.38,0.45,0.27,1/7/2020,80,186
Thiago Carvalho,Sports,6545.46,15024.76,0.39,0.29,1/7/2020,36,65
Mateus Barbosa,Electronics,13265.71,14291.48,0.25,0.22,1/7/2020,82,170
Camila Carvalho,House,18502.13,4393.81,0.17,0.29,1/7/2020,102,211
Diego Cardoso,Wardrobe,6960.06,8558.36,0.13,0.15,1/7/2020,38,82
Jorge Santos,Toy,8684.13,3854.36,0.32,0.3,1/7/2020,46,175
Raphael Silva,Stationery,4339.29,1181.78,0.45,0.4,1/7/2020,28,98
Caroline Reis,Stationery,1322.39,3987.94,0.32,0.43,1/7/2020,6,19
Letícia Nascimento,Electronics,4045.21,5644.08,0.19,0.21,1/8/2020,19,69
Ana Sousa,Electronics,12183.6,11709.73,0.14,0.22,1/8/2020,74,222
Gustavo Martins,Electronics,4005.11,7214.68,0.18,0.22,1/8/2020,24,49
Beatriz Santos,Wardrobe,7242.74,5798.03,0.22,0.15,1/8/2020,43,143
Camila Lima,Wardrobe,4639.45,10597.66,0.13,0.18,1/8/2020,26,67
Thiago Barbosa,Accessories,5000.9,3680.47,0.5,0.48,1/8/2020,26,101
Letícia Ribeiro,Accessories,6311.93,4479.33,0.22,0.54,1/8/2020,34,92
Enzo Nascimento,House,11632.32,7514.4,0.31,0.23,1/8/2020,65,260
Guilherme Santos,House,15905.77,8000.7,0.33,0.3,1/8/2020,84,113
Vitória Ribeiro,Toy,12178.53,7156.13,0.12,0.29,1/8/2020,68,230
Julia Araújo,Sports,5645.17,7941.46,0.48,0.27,1/8/2020,33,51
Lucas Rodrigues,Sports,1141.67,8061.57,0.49,0.39,1/8/2020,4,7
Thiago Carvalho,Sports,9240.83,7833.26,0.49,0.33,1/8/2020,48,125
Mateus Barbosa,Electronics,6673.6,10729.62,0.14,0.19,1/8/2020,36,134
Camila Carvalho,House,17955.48,12964.66,0.43,0.28,1/8/2020,102,241
Diego Cardoso,Wardrobe,5071.34,5956.84,0.08,0.18,1/8/2020,28,72
Jorge Santos,Toy,1438.7,8618.38,0.23,0.28,1/8/2020,9,34
Raphael Silva,Stationery,1238.25,3521.35,0.27,0.4,1/8/2020,7,12
Caroline Reis,Stationery,2668.89,1739.2,0.65,0.38,1/8/2020,12,36
Letícia Nascimento,Electronics,10912.06,5944.33,0.24,0.22,1/9/2020,55,137
Ana Sousa,Electronics,11677.84,12117.89,0.18,0.21,1/9/2020,65,202
Gustavo Martins,Electronics,16417.08,8513.91,0.1,0.18,1/9/2020,96,140
Beatriz Santos,Wardrobe,8604.19,8931.57,0.12,0.17,1/9/2020,43,122
Camila Lima,Wardrobe,7459.58,5486.72,0.15,0.2,1/9/2020,40,112
Thiago Barbosa,Accessories,3745.87,4723.68,0.7,0.4,1/9/2020,24,63
Letícia Ribeiro,Accessories,3586.13,1427.37,0.72,0.42,1/9/2020,17,33
Enzo Nascimento,House,15949.59,13463.21,0.4,0.26,1/9/2020,80,211
Guilherme Santos,House,2572.52,12142.91,0.22,0.28,1/9/2020,11,39
Vitória Ribeiro,Toy,4012.39,3608.4,0.13,0.21,1/9/2020,24,49
Julia Araújo,Sports,4763.38,10721.81,0.42,0.26,1/9/2020,26,54
Lucas Rodrigues,Sports,16444.35,13302.15,0.44,0.27,1/9/2020,104,195
Thiago Carvalho,Sports,1476.5,14046.38,0.44,0.31,1/9/2020,9,27
Mateus Barbosa,Electronics,9314.74,12158.06,0.26,0.19,1/9/2020,51,167
Camila Carvalho,House,11843.87,13079.59,0.14,0.26,1/9/2020,67,151
Diego Cardoso,Wardrobe,9264.29,5870.51,0.12,0.2,1/9/2020,55,117
Jorge Santos,Toy,14088.88,4380.23,0.35,0.21,1/9/2020,84,243
Raphael Silva,Stationery,1004.33,1762.55,0.47,0.47,1/9/2020,2,3
Caroline Reis,Stationery,1358.11,1942.4,0.29,0.52,1/9/2020,6,16
Letícia Nascimento,Electronics,2084.66,14265.44,0.14,0.18,1/10/2020,9,23
Ana Sousa,Electronics,1015.99,12653,0.15,0.21,1/10/2020,4,13
Gustavo Martins,Electronics,5592.15,14482.43,0.18,0.22,1/10/2020,29,48
Beatriz Santos,Wardrobe,5428.29,5752.57,0.13,0.2,1/10/2020,33,118
Camila Lima,Wardrobe,1791.7,3545.51,0.2,0.2,1/10/2020,12,49
Thiago Barbosa,Accessories,4052.44,5143.82,0.46,0.46,1/10/2020,24,92
Letícia Ribeiro,Accessories,4980.05,3932.8,0.74,0.6,1/10/2020,23,27
Enzo Nascimento,House,12316.34,7614.75,0.43,0.28,1/10/2020,63,210
Guilherme Santos,House,2934.71,4721.05,0.37,0.24,1/10/2020,12,32
Vitória Ribeiro,Toy,376.84,3086.9,0.37,0.22,1/10/2020,2,3
Julia Araújo,Sports,17552.24,4299.31,0.23,0.31,1/10/2020,101,154
Lucas Rodrigues,Sports,2884.64,9503.01,0.21,0.35,1/10/2020,12,40
Thiago Carvalho,Sports,8795.8,15240.33,0.21,0.34,1/10/2020,48,120
Mateus Barbosa,Electronics,7456.03,7097.75,0.26,0.2,1/10/2020,41,100
Camila Carvalho,House,13196.3,8228.15,0.31,0.28,1/10/2020,70,91
Diego Cardoso,Wardrobe,11796.75,5503.17,0.22,0.18,1/10/2020,72,177
Jorge Santos,Toy,2013.22,7060.56,0.17,0.28,1/10/2020,11,20
Raphael Silva,Stationery,2084.61,2427.46,0.38,0.4,1/10/2020,7,28
Caroline Reis,Stationery,2344.71,1571.87,0.36,0.5,1/10/2020,9,11
Letícia Nascimento,Electronics,4768.59,4923.35,0.27,0.18,1/11/2020,28,82
Ana Sousa,Electronics,6642.09,7967.96,0.09,0.22,1/11/2020,34,63
Gustavo Martins,Electronics,1056.48,6985.1,0.22,0.18,1/11/2020,2,4
Beatriz Santos,Wardrobe,8284.75,7314.19,0.09,0.2,1/11/2020,46,153
Camila Lima,Wardrobe,3948.45,7473.42,0.26,0.17,1/11/2020,19,73
Thiago Barbosa,Accessories,6145.69,3589.9,0.78,0.54,1/11/2020,33,123
Letícia Ribeiro,Accessories,1991.67,2930.46,0.5,0.54,1/11/2020,12,19
Enzo Nascimento,House,17973.3,13745.53,0.19,0.29,1/11/2020,102,168
Guilherme Santos,House,4250.81,5426.18,0.23,0.28,1/11/2020,24,44
Vitória Ribeiro,Toy,4807.43,3310.52,0.16,0.28,1/11/2020,26,98
Julia Araújo,Sports,18171.84,14920.61,0.36,0.33,1/11/2020,119,379
Lucas Rodrigues,Sports,10286.65,6108.22,0.27,0.29,1/11/2020,58,117
Thiago Carvalho,Sports,11613.77,9539.11,0.42,0.31,1/11/2020,62,107
Mateus Barbosa,Electronics,16843.99,9431.75,0.24,0.24,1/11/2020,106,370
Camila Carvalho,House,15454.45,16133.8,0.31,0.26,1/11/2020,89,331
Diego Cardoso,Wardrobe,2300.19,4397.31,0.13,0.21,1/11/2020,11,18
Jorge Santos,Toy,1706.08,12091.7,0.35,0.22,1/11/2020,4,13
Raphael Silva,Stationery,1715.49,4238.62,0.67,0.41,1/11/2020,6,9
Caroline Reis,Stationery,1374.24,3076.23,0.18,0.45,1/11/2020,7,9
Letícia Nascimento,Electronics,2498.3,4611.23,0.1,0.22,1/12/2020,16,54
Ana Sousa,Electronics,2392.1,5558.63,0.22,0.23,1/12/2020,14,48
Gustavo Martins,Electronics,7009.17,13802.87,0.19,0.21,1/12/2020,41,86
Beatriz Santos,Wardrobe,9153.7,6096.89,0.1,0.18,1/12/2020,48,104
Camila Lima,Wardrobe,9268.88,4696.91,0.08,0.15,1/12/2020,53,101
Thiago Barbosa,Accessories,2660.09,5242.4,0.32,0.46,1/12/2020,12,38
Letícia Ribeiro,Accessories,3196.07,4443.58,0.48,0.5,1/12/2020,16,50
Enzo Nascimento,House,15114.45,14208.74,0.28,0.32,1/12/2020,85,319
Guilherme Santos,House,2365.39,9826.52,0.41,0.26,1/12/2020,12,33
Vitória Ribeiro,Toy,1845.54,10065.06,0.31,0.22,1/12/2020,11,14
Julia Araújo,Sports,13652.39,13576.01,0.17,0.27,1/12/2020,79,208
Lucas Rodrigues,Sports,10846.39,11093.15,0.14,0.3,1/12/2020,63,255
Thiago Carvalho,Sports,9685.26,4746.68,0.38,0.31,1/12/2020,55,184
Mateus Barbosa,Electronics,14983.32,4025.68,0.18,0.19,1/12/2020,91,142
Camila Carvalho,House,502.25,6404.44,0.12,0.23,1/12/2020,4,10
Diego Cardoso,Wardrobe,5935.18,5730.09,0.21,0.19,1/12/2020,33,88
Jorge Santos,Toy,9326.88,12059.57,0.33,0.22,1/12/2020,53,74
Raphael Silva,Stationery,2286.84,1767.58,0.22,0.38,1/12/2020,12,16
Caroline Reis,Stationery,243.67,1225.24,0.31,0.49,1/12/2020,4,6
Letícia Nascimento,Electronics,9264.42,10024.37,0.14,0.16,1/13/2020,55,216
Ana Sousa,Electronics,2250.65,12804.38,0.16,0.19,1/13/2020,7,13
Gustavo Martins,Electronics,10077.66,13623.06,0.14,0.22,1/13/2020,58,84
Beatriz Santos,Wardrobe,9615.81,4059.79,0.1,0.17,1/13/2020,55,215
Camila Lima,Wardrobe,10910.33,3081.38,0.26,0.14,1/13/2020,51,139
Thiago Barbosa,Accessories,3141.05,4772.37,0.64,0.56,1/13/2020,16,54
Letícia Ribeiro,Accessories,4472.94,3075.8,0.76,0.46,1/13/2020,28,45
Enzo Nascimento,House,14608.78,4720.55,0.22,0.31,1/13/2020,94,271
Guilherme Santos,House,15543.75,7747.71,0.15,0.29,1/13/2020,94,323
Vitória Ribeiro,Toy,5226.1,4630.59,0.11,0.29,1/13/2020,31,85
Julia Araújo,Sports,6624.36,13655.05,0.25,0.29,1/13/2020,33,112
Lucas Rodrigues,Sports,10329.35,6565.3,0.29,0.31,1/13/2020,51,107
Thiago Carvalho,Sports,9590.67,8323,0.34,0.39,1/13/2020,55,169
Mateus Barbosa,Electronics,10751.58,12607.48,0.14,0.22,1/13/2020,51,151
Camila Carvalho,House,941.48,9998.85,0.31,0.23,1/13/2020,4,10
Diego Cardoso,Wardrobe,6041.13,10067.63,0.14,0.17,1/13/2020,34,47
Jorge Santos,Toy,9057.68,6058.1,0.15,0.24,1/13/2020,48,61
Raphael Silva,Stationery,275.27,2680.71,0.59,0.43,1/13/2020,4,12
Caroline Reis,Stationery,3646.26,2416.5,0.68,0.45,1/13/2020,19,29
Letícia Nascimento,Electronics,15283.95,7395.57,0.1,0.22,1/14/2020,85,348
Ana Sousa,Electronics,15873.43,11385.21,0.12,0.18,1/14/2020,91,148
Gustavo Martins,Electronics,7527.86,13978.41,0.19,0.22,1/14/2020,38,139
Beatriz Santos,Wardrobe,1195.42,7325.23,0.22,0.15,1/14/2020,6,10
Camila Lima,Wardrobe,7856.28,4583.51,0.25,0.2,1/14/2020,41,164
Thiago Barbosa,Accessories,2903.32,3608.89,0.72,0.48,1/14/2020,14,39
Letícia Ribeiro,Accessories,5596.79,1375.09,0.38,0.48,1/14/2020,29,79
Enzo Nascimento,House,5559.46,7648.65,0.22,0.23,1/14/2020,31,39
Guilherme Santos,House,18329.9,10623.29,0.25,0.28,1/14/2020,123,214
Vitória Ribeiro,Toy,3061.55,4655.04,0.3,0.3,1/14/2020,16,45
Julia Araújo,Sports,12120.18,7162.32,0.51,0.27,1/14/2020,74,167
Lucas Rodrigues,Sports,4040.13,9574.86,0.25,0.3,1/14/2020,23,48
Thiago Carvalho,Sports,1988.59,12289.52,0.16,0.31,1/14/2020,11,40
Mateus Barbosa,Electronics,8421.78,10769.7,0.14,0.17,1/14/2020,46,176
Camila Carvalho,House,4159.22,5649.55,0.29,0.25,1/14/2020,24,95
Diego Cardoso,Wardrobe,436.49,9122.31,0.1,0.17,1/14/2020,4,9
Jorge Santos,Toy,13623.08,9290.8,0.32,0.29,1/14/2020,72,192
Raphael Silva,Stationery,2098.75,2602.76,0.36,0.4,1/14/2020,9,22
Caroline Reis,Stationery,1789.79,1470.32,0.63,0.41,1/14/2020,12,20
Letícia Nascimento,Electronics,10381.89,5225.09,0.19,0.22,1/15/2020,58,85
Ana Sousa,Electronics,13781.62,12919.57,0.1,0.17,1/15/2020,70,206
Gustavo Martins,Electronics,11730.42,3919.07,0.16,0.22,1/15/2020,68,101
Beatriz Santos,Wardrobe,11670.08,8844.38,0.16,0.19,1/15/2020,70,84
Camila Lima,Wardrobe,1186.14,3538.63,0.08,0.15,1/15/2020,9,16
Thiago Barbosa,Accessories,5431.54,2545.14,0.78,0.4,1/15/2020,33,99
Letícia Ribeiro,Accessories,1315.11,1588.49,0.46,0.5,1/15/2020,9,11
Enzo Nascimento,House,9612.17,5664.52,0.37,0.26,1/15/2020,53,114
Guilherme Santos,House,7408.34,10929.4,0.31,0.28,1/15/2020,43,103
Vitória Ribeiro,Toy,10340.02,10227.51,0.34,0.22,1/15/2020,55,166
Julia Araújo,Sports,15701.85,13417.32,0.39,0.35,1/15/2020,87,292
Lucas Rodrigues,Sports,4172.44,11222.19,0.39,0.33,1/15/2020,23,48
Thiago Carvalho,Sports,7673.95,8246.82,0.21,0.27,1/15/2020,50,100
Mateus Barbosa,Electronics,4374.93,14212.7,0.21,0.19,1/15/2020,28,44
Camila Carvalho,House,8270.31,14738.28,0.12,0.31,1/15/2020,46,119
Diego Cardoso,Wardrobe,4377.44,9004.52,0.26,0.21,1/15/2020,21,75
Jorge Santos,Toy,11593.39,10821.81,0.21,0.2,1/15/2020,65,228
Raphael Silva,Stationery,325.43,2355.06,0.29,0.47,1/15/2020,2,5
Caroline Reis,Stationery,96.71,2054.59,0.59,0.38,1/15/2020,4,10
Letícia Nascimento,Electronics,10197.35,9498.48,0.32,0.21,1/16/2020,58,234
Ana Sousa,Electronics,15621.78,7871.49,0.26,0.2,1/16/2020,87,353
Gustavo Martins,Electronics,3518.29,5640.3,0.18,0.22,1/16/2020,17,68
Beatriz Santos,Wardrobe,1143.53,4897.91,0.1,0.17,1/16/2020,7,11
Camila Lima,Wardrobe,1656.66,9029.75,0.1,0.18,1/16/2020,6,18
Thiago Barbosa,Accessories,4311.85,4727.06,0.54,0.56,1/16/2020,23,82
Letícia Ribeiro,Accessories,4235.56,4181.37,0.26,0.5,1/16/2020,19,73
Enzo Nascimento,House,17075.61,12625.83,0.22,0.24,1/16/2020,96,204
Guilherme Santos,House,2785.89,11103.15,0.39,0.25,1/16/2020,11,23
Vitória Ribeiro,Toy,11488.7,6362.62,0.38,0.28,1/16/2020,74,148
Julia Araújo,Sports,8731.51,15677.59,0.27,0.35,1/16/2020,53,109
Lucas Rodrigues,Sports,15121.22,13563.35,0.49,0.31,1/16/2020,87,192
Thiago Carvalho,Sports,14140.12,13648.17,0.51,0.29,1/16/2020,84,285
Mateus Barbosa,Electronics,14833.89,6563.94,0.27,0.19,1/16/2020,82,164
Camila Carvalho,House,6723.37,9204.53,0.21,0.29,1/16/2020,38,80
Diego Cardoso,Wardrobe,7747.12,10481.08,0.2,0.19,1/16/2020,45,65
Jorge Santos,Toy,7585.08,7195.2,0.15,0.26,1/16/2020,41,83
Raphael Silva,Stationery,4418.23,1635.25,0.25,0.36,1/16/2020,23,64
Caroline Reis,Stationery,4563.84,1483.41,0.34,0.43,1/16/2020,28,105
Letícia Nascimento,Electronics,2831.67,6862.3,0.24,0.17,1/17/2020,11,13
Ana Sousa,Electronics,15035.47,5071.03,0.21,0.22,1/17/2020,84,110
Gustavo Martins,Electronics,9009.82,9299.85,0.25,0.24,1/17/2020,48,126
Beatriz Santos,Wardrobe,1346.1,2897.49,0.15,0.2,1/17/2020,7,22
Camila Lima,Wardrobe,5374.32,8093.91,0.14,0.15,1/17/2020,28,62
Thiago Barbosa,Accessories,1896.74,4573.42,0.44,0.48,1/17/2020,12,31
Letícia Ribeiro,Accessories,5410.86,1921.65,0.74,0.56,1/17/2020,31,76
Enzo Nascimento,House,6943.8,12632.54,0.3,0.33,1/17/2020,40,77
Guilherme Santos,House,7667.83,7159.14,0.18,0.25,1/17/2020,50,190
Vitória Ribeiro,Toy,8396.29,6997.82,0.13,0.26,1/17/2020,46,125
Julia Araújo,Sports,6653.96,12068.67,0.43,0.27,1/17/2020,33,81
Lucas Rodrigues,Sports,7148.81,14736.37,0.4,0.29,1/17/2020,40,153
Thiago Carvalho,Sports,17754.04,7354.59,0.3,0.35,1/17/2020,106,199
Mateus Barbosa,Electronics,6195.02,10921.66,0.21,0.2,1/17/2020,34,84
Camila Carvalho,House,4665.2,16666.08,0.3,0.24,1/17/2020,26,92
Diego Cardoso,Wardrobe,9532.14,6261.59,0.08,0.2,1/17/2020,51,84
Jorge Santos,Toy,3091.81,9579.25,0.22,0.29,1/17/2020,16,61
Raphael Silva,Stationery,4209.85,3426.18,0.52,0.45,1/17/2020,23,82
Caroline Reis,Stationery,2144.22,3406.85,0.18,0.41,1/17/2020,7,10
Letícia Nascimento,Electronics,16012.93,13690.97,0.1,0.23,1/18/2020,96,337
Ana Sousa,Electronics,16926.22,8522.41,0.12,0.2,1/18/2020,96,256
